,URLS
383,https://olympics.com/en/olympic-games/calgary-1988/results/luge
384,https://olympics.com/en/olympic-games/calgary-1988/results/nordic-combined
385,https://olympics.com/en/olympic-games/calgary-1988/results/ski-jumping
386,https://olympics.com/en/olympic-games/calgary-1988/results/speed-skating
387,https://olympics.com/en/olympic-games/seoul-1988/results/archery
388,https://olympics.com/en/olympic-games/seoul-1988/results/athletics
389,https://olympics.com/en/olympic-games/seoul-1988/results/basketball
390,https://olympics.com/en/olympic-games/seoul-1988/results/boxing
391,https://olympics.com/en/olympic-games/seoul-1988/results/cycling-road
392,https://olympics.com/en/olympic-games/seoul-1988/results/cycling-track
393,https://olympics.com/en/olympic-games/seoul-1988/results/diving
394,https://olympics.com/en/olympic-games/seoul-1988/results/fencing
395,https://olympics.com/en/olympic-games/seoul-1988/results/football
396,https://olympics.com/en/olympic-games/seoul-1988/results/handball
397,https://olympics.com/en/olympic-games/seoul-1988/results/hockey
398,https://olympics.com/en/olympic-games/seoul-1988/results/judo
399,https://olympics.com/en/olympic-games/seoul-1988/results/modern-pentathlon
400,https://olympics.com/en/olympic-games/seoul-1988/results/rowing
401,https://olympics.com/en/olympic-games/seoul-1988/results/sailing
402,https://olympics.com/en/olympic-games/seoul-1988/results/shooting
403,https://olympics.com/en/olympic-games/seoul-1988/results/swimming
404,https://olympics.com/en/olympic-games/seoul-1988/results/table-tennis
405,https://olympics.com/en/olympic-games/seoul-1988/results/tennis
406,https://olympics.com/en/olympic-games/seoul-1988/results/volleyball
407,https://olympics.com/en/olympic-games/seoul-1988/results/water-polo
408,https://olympics.com/en/olympic-games/seoul-1988/results/weightlifting
409,https://olympics.com/en/olympic-games/seoul-1988/results/wrestling
410,https://olympics.com/en/olympic-games/sarajevo-1984/results/alpine-skiing
411,https://olympics.com/en/olympic-games/sarajevo-1984/results/biathlon
412,https://olympics.com/en/olympic-games/sarajevo-1984/results/bobsleigh
413,https://olympics.com/en/olympic-games/sarajevo-1984/results/cross-country-skiing
414,https://olympics.com/en/olympic-games/sarajevo-1984/results/figure-skating
415,https://olympics.com/en/olympic-games/sarajevo-1984/results/ice-hockey
416,https://olympics.com/en/olympic-games/sarajevo-1984/results/luge
417,https://olympics.com/en/olympic-games/sarajevo-1984/results/nordic-combined
418,https://olympics.com/en/olympic-games/sarajevo-1984/results/ski-jumping
419,https://olympics.com/en/olympic-games/sarajevo-1984/results/speed-skating
420,https://olympics.com/en/olympic-games/los-angeles-1984/results/archery
421,https://olympics.com/en/olympic-games/los-angeles-1984/results/athletics
422,https://olympics.com/en/olympic-games/los-angeles-1984/results/basketball
423,https://olympics.com/en/olympic-games/los-angeles-1984/results/boxing
424,https://olympics.com/en/olympic-games/los-angeles-1984/results/cycling-road
